1086454302|5360|a fey slayer deed|[a fey slayer deed],[ Hue: 1964 ],[Weight: 1 stone],[Price: 11,000]|787|746|Sandya|1964
1075522682|5360|an archnid doom slayer deed|[an archnid doom slayer deed],[ Hue: 1964 ],[Weight: 1 stone],[Price: 12,000]|787|746|Sandya|1964
1075522231|5360|an archnid doom slayer deed|[an archnid doom slayer deed],[ Hue: 1964 ],[Weight: 1 stone],[Price: 12,000]|787|746|Sandya|1964
1098757726|5360|an elemental ban slayer deed|[an elemental ban slayer deed],[ Hue: 1964 ],[Weight: 1 stone],[Price: 13,000]|787|746|Sandya|1964
1098755891|5360|an elemental ban slayer deed|[an elemental ban slayer deed],[ Hue: 1964 ],[Weight: 1 stone],[Price: 13,000]|787|746|Sandya|1964
1098758062|5360|an elemental ban slayer deed|[an elemental ban slayer deed],[ Hue: 1964 ],[Weight: 1 stone],[Price: 13,000]|787|746|Sandya|1964
1090714574|5360|a silver slayer deed|[a silver slayer deed],[ Hue: 1964 ],[Weight: 1 stone],[Price: 15,000]|787|746|Sandya|1964
1090721599|5360|a silver slayer deed|[a silver slayer deed],[ Hue: 1964 ],[Weight: 1 stone],[Price: 15,000]|787|746|Sandya|1964
1090718966|5360|a silver slayer deed|[a silver slayer deed],[ Hue: 1964 ],[Weight: 1 stone],[Price: 15,000]|787|746|Sandya|1964
1090721222|5360|a silver slayer deed|[a silver slayer deed],[ Hue: 1964 ],[Weight: 1 stone],[Price: 15,000]|787|746|Sandya|1964
1090713727|5360|a silver slayer deed|[a silver slayer deed],[ Hue: 1964 ],[Weight: 1 stone],[Price: 15,000]|787|746|Sandya|1964
1091194284|9922|composite bow|[ composite bow],[ (Uncommon)],[Hue: Ash (1191)],[Exceptional],[Orc Slaying],[Weight: 5 stones],[Price: 5,000],[crafted by Kangaceiro],[exceptional],[Damage Increase +4],[range 10],[two-handed weapon],[durability 52 / 52]|787|746|Sandya|1191
1095872215|9922|composite bow|[ composite bow],[ (Rare)],[Hue: Bloodwood (1194)],[Exceptional],[Power],[Weight: 5 stones],[Price: 33,333],[crafted by Kangaceiro],[exceptional],[Damage Increase +10],[range 10],[two-handed weapon],[durability 46 / 46]|787|746|Sandya|1194
1211724724|9922|composite bow|[ composite bow],[ (Rare)],[Hue: Bloodwood (1194)],[Exceptional],[Power],[Weight: 5 stones],[Price: 33,333],[crafted by dementis tailo],[exceptional],[Damage Increase +10],[range 10],[two-handed weapon],[durability 52 / 52]|787|746|Sandya|1194
1096201009|9922|composite bow|[ composite bow],[ (Magical)],[Hue: Heartwood (1193)],[Exceptional],[Power],[Weight: 5 stones],[Price: 33,333],[crafted by Kangaceiro],[exceptional],[Damage Increase +10],[range 10],[two-handed weapon],[durability 77 / 77]|787|746|Sandya|1193
1096093058|9922|composite bow|[ composite bow],[ (Magical)],[Hue: Heartwood (1193)],[Exceptional],[Power],[Weight: 5 stones],[Price: 33,333],[crafted by Kangaceiro],[exceptional],[Damage Increase +10],[range 10],[two-handed weapon],[durability 53 / 53]|787|746|Sandya|1193
1146368405|9922|composite bow|[ composite bow],[ (Magical)],[Hue: Heartwood (1193)],[Exceptional],[Power],[Weight: 5 stones],[Price: 33,333],[crafted by dementis tailo],[exceptional],[Damage Increase +10],[range 10],[two-handed weapon],[durability 69 / 69]|787|746|Sandya|1193
1090767744|5360|a repond slayer deed|[a repond slayer deed],[ Hue: 1964 ],[Weight: 1 stone],[Price: 15,000]|787|746|Sandya|1964
1090760450|5360|a repond slayer deed|[a repond slayer deed],[ Hue: 1964 ],[Weight: 1 stone],[Price: 15,000]|787|746|Sandya|1964
1090760625|5360|a repond slayer deed|[a repond slayer deed],[ Hue: 1964 ],[Weight: 1 stone],[Price: 15,000]|787|746|Sandya|1964
1090758993|5360|a repond slayer deed|[a repond slayer deed],[ Hue: 1964 ],[Weight: 1 stone],[Price: 15,000]|787|746|Sandya|1964
1173605705|41876|Charred Barbarian's Chest|[ Charred Barbarian's Chest],[ (Rare)],[Hue: vintage white (2791)],[Weight: 16 stones],[Price: 250,000],[Contents will be destroyed if broken],[[Single click for more Information],[1 items, 1 stones]|787|746|Sandya|2791
